N,big_area,big_area_difference,small_area,small_area_difference
100,0.486107,0.45841,0.859375,0.0851422
600,1.02082,0.0763071,0.898437,0.0460797
1100,0.972214,0.0276964,0.923295,0.0212217
1600,0.929679,0.0148379,0.914062,0.0304547
2100,0.976843,0.032326,0.915923,0.0285946
2600,0.908646,0.0358714,0.921274,0.0232431
3100,0.93458,0.00993767,0.929435,0.0150817
3600,0.926304,0.0182137,0.934462,0.0100554
4100,0.924789,0.0197286,0.923399,0.0211178
4600,0.921489,0.0230278,0.92697,0.0175471
5100,0.926462,0.0180548,0.925245,0.0192721
5600,0.930547,0.0139699,0.927455,0.0170618
6100,0.910056,0.0344615,0.931865,0.0126524
6600,0.919184,0.0253334,0.931581,0.0129357
7100,0.914702,0.0298148,0.932658,0.0118587
7600,0.922324,0.0221935,0.934416,0.0101011
8100,0.925403,0.0191139,0.939622,0.00489527
8600,0.942821,0.00169609,0.942769,0.00174829
9100,0.958325,0.0138076,0.944883,0.000366056
9600,0.965125,0.0206074,0.949056,0.0045388
10100,0.971251,0.0267338,0.947556,0.00303851
10600,0.968545,0.0240277,0.949882,0.00536489
11100,0.977469,0.0329516,0.952421,0.00790399
11600,0.977242,0.0327251,0.952452,0.00793432
12100,0.974624,0.0301069,0.947701,0.00318426
12600,0.977615,0.0330976,0.946429,0.00191139
13100,0.969987,0.02547,0.947638,0.00312117
13600,0.973643,0.0291261,0.948989,0.00447178
14100,0.963939,0.0194223,0.946144,0.00162643
14600,0.970216,0.0256987,0.944991,0.000474252
15100,0.96835,0.0238333,0.945364,0.000847053
15600,0.970344,0.0258268,0.945613,0.00109579
16100,0.97161,0.0270926,0.94604,0.00152319
16600,0.976313,0.0317961,0.944371,0.000145951
17100,0.974488,0.0299706,0.943713,0.000803736
17600,0.977738,0.0332204,0.943359,0.00115781
18100,0.987253,0.0427362,0.942939,0.00157865
18600,0.987372,0.0428546,0.943548,0.000968799
19100,0.98443,0.0399127,0.943799,0.000718102
19600,0.98511,0.0405931,0.944914,0.000396717
20100,0.996398,0.0518808,0.945818,0.0013006
20600,0.993451,0.0489341,0.945009,0.000491916
21100,0.992487,0.0479701,0.94572,0.0012026
21600,0.987517,0.0429998,0.945964,0.00144636
22100,0.984091,0.0395741,0.945348,0.000830665
22600,0.981247,0.0367303,0.94469,0.00017308
23100,0.980631,0.0361138,0.945143,0.000626212
23600,0.977981,0.0334638,0.944981,0.000464276
24100,0.977861,0.0333441,0.945864,0.0013464
24600,0.976166,0.0316485,0.946011,0.00149399
25100,0.972214,0.0276964,0.946526,0.00200921
25600,0.968796,0.0242785,0.947388,0.00287051
26100,0.966254,0.0217365,0.947557,0.00304029
26600,0.965269,0.020752,0.947956,0.00343864
27100,0.970061,0.0255439,0.947821,0.00330339
27600,0.969748,0.0252307,0.948256,0.00373915
28100,0.974635,0.0301183,0.949288,0.00477107
28600,0.971874,0.0273565,0.949246,0.00472888
29100,0.96787,0.0233532,0.950064,0.00554725
29600,0.967287,0.0227697,0.950063,0.00554616
30100,0.964139,0.0196215,0.949751,0.00523364
30600,0.965224,0.0207066,0.949755,0.00523772
31100,0.966899,0.0223821,0.948855,0.00433732
31600,0.968214,0.0236968,0.949417,0.00489935
32100,0.973122,0.028605,0.949085,0.00456771
32600,0.973108,0.0285911,0.949003,0.00448588
33100,0.973976,0.0294587,0.949349,0.00483138
33600,0.974818,0.0303006,0.949405,0.00488758
34100,0.972214,0.0276964,0.949872,0.00535451
34600,0.971371,0.0268534,0.949332,0.00481446
35100,0.969998,0.0254805,0.949252,0.00473495
35600,0.967298,0.0227807,0.948824,0.00430655
36100,0.966019,0.0215023,0.9491,0.00458254
36600,0.966635,0.0221181,0.948386,0.00386908
37100,0.967235,0.0227174,0.94824,0.00372237
37600,0.964457,0.0199394,0.94764,0.00312244
38100,0.965579,0.0210619,0.947671,0.00315342
38600,0.965161,0.0206441,0.947863,0.00334551
39100,0.965997,0.0214802,0.94749,0.00297322
39600,0.965094,0.0205767,0.947601,0.00308382
40100,0.965183,0.0206654,0.947787,0.0032696
40600,0.963593,0.0190758,0.947968,0.00345079
41100,0.960386,0.015869,0.947841,0.00332345
41600,0.960528,0.0160112,0.948017,0.00349964
42100,0.95651,0.0119932,0.947929,0.00341185
42600,0.956695,0.0121775,0.94843,0.00391298
43100,0.958905,0.0143877,0.948267,0.00374993
43600,0.959503,0.0149863,0.948466,0.00394898
44100,0.957223,0.0127054,0.947881,0.00336405
44600,0.956083,0.0115655,0.948325,0.00380821
45100,0.953459,0.00894196,0.947547,0.00302993
45600,0.951959,0.00744196,0.948122,0.00360507
46100,0.951968,0.00745075,0.948007,0.00348986
46600,0.953228,0.00871112,0.948163,0.00364537
47100,0.951985,0.00746776,0.948746,0.00422883
47600,0.951176,0.00665901,0.948726,0.00420918
48100,0.951395,0.0068777,0.948642,0.00412497
48600,0.951209,0.00669179,0.948785,0.00426754
49100,0.950631,0.00611366,0.948574,0.00405715
49600,0.949476,0.00495916,0.9484,0.00388251
50100,0.951256,0.00673851,0.948696,0.00417917
50600,0.950502,0.00598492,0.948895,0.00437733
51100,0.950144,0.00562659,0.948752,0.00423526
51600,0.950358,0.00584045,0.948704,0.00418679
52100,0.952247,0.00772964,0.948536,0.00401928
52600,0.952437,0.00791944,0.94861,0.0040926
53100,0.95189,0.0073733,0.948417,0.00389972
53600,0.951536,0.00701873,0.948286,0.00376873
54100,0.951727,0.00720984,0.948215,0.00369793
54600,0.950846,0.00632908,0.947774,0.00325639
55100,0.950158,0.00564075,0.947567,0.00304974
55600,0.949482,0.0049648,0.947252,0.00273439
56100,0.949858,0.0053407,0.947332,0.00281459
56600,0.948853,0.0043358,0.947438,0.00292098
57100,0.947695,0.00317824,0.947461,0.00294341
57600,0.946389,0.00187199,0.947564,0.00304683
58100,0.947448,0.0029309,0.947316,0.00279886
58600,0.946664,0.00214677,0.946779,0.00226182
59100,0.947045,0.00252743,0.947176,0.00265921
59600,0.945951,0.00143359,0.947672,0.00315479
60100,0.948919,0.00440211,0.947561,0.00304417
60600,0.947026,0.0025087,0.947633,0.00311586
61100,0.946755,0.00223746,0.947397,0.0028795
61600,0.947435,0.00291759,0.947215,0.00269771
62100,0.9492,0.00468266,0.947288,0.00277046
62600,0.950315,0.00579831,0.947234,0.00271724
63100,0.950797,0.00627998,0.946835,0.00231819
63600,0.950507,0.00598975,0.946787,0.00226937
64100,0.951435,0.00691743,0.947055,0.0025382
64600,0.951595,0.00707826,0.947562,0.00304473
65100,0.95041,0.00589254,0.947413,0.00289545
65600,0.951762,0.00724436,0.94748,0.00296281
66100,0.95221,0.00769323,0.947641,0.0031237
66600,0.952215,0.00769742,0.947964,0.0034464
67100,0.950335,0.00581798,0.947699,0.00318214
67600,0.949203,0.00468544,0.947716,0.00319916
68100,0.948515,0.00399781,0.947618,0.00310121
68600,0.947837,0.00332021,0.947408,0.0028908
69100,0.948154,0.00363729,0.947789,0.00327135
69600,0.948048,0.00353076,0.947804,0.00328723
70100,0.947804,0.00328705,0.947753,0.00323602
70600,0.948115,0.00359763,0.947924,0.00340686
71100,0.945823,0.0013058,0.947499,0.00298194
71600,0.945464,0.000946957,0.947255,0.00273753
72100,0.946594,0.00207636,0.947339,0.00282158
72600,0.946368,0.00185106,0.9474,0.00288295
73100,0.946279,0.00176185,0.947568,0.00305036
73600,0.947116,0.0025985,0.947329,0.00281213
74100,0.946629,0.00211184,0.9472,0.00268254
74600,0.947061,0.00254397,0.94703,0.00251281
75100,0.948523,0.00400599,0.947299,0.00278225
75600,0.949066,0.00454847,0.947338,0.00282078
76100,0.948707,0.00418954,0.947294,0.00277667
76600,0.949495,0.00497758,0.947332,0.00281473
77100,0.949516,0.00499882,0.947207,0.00269017
77600,0.949412,0.00489449,0.947044,0.00252695
78100,0.95018,0.00566289,0.947383,0.00286598
78600,0.951557,0.00703996,0.947539,0.00302178
79100,0.951811,0.00729344,0.947831,0.00331388
79600,0.951328,0.00681092,0.947766,0.00324899
80100,0.951458,0.00694129,0.947644,0.00312638
80600,0.952552,0.00803502,0.947678,0.00316039
81100,0.952554,0.00803636,0.947499,0.00298204
81600,0.95327,0.00875254,0.947381,0.00286333
82100,0.95303,0.00851266,0.947358,0.00284122
82600,0.952204,0.00768717,0.947469,0.00295179
83100,0.952091,0.00757358,0.947277,0.00276019
83600,0.953607,0.00908945,0.947518,0.00300076
84100,0.95337,0.00885327,0.94731,0.00279256
84600,0.954976,0.0104586,0.947473,0.00295622
85100,0.954277,0.00976015,0.94725,0.00273237
85600,0.953928,0.00941062,0.947083,0.0025659
86100,0.954599,0.0100814,0.947263,0.00274617
86600,0.954139,0.00962177,0.947207,0.0026898
87100,0.953685,0.00916742,0.947277,0.00275965
87600,0.954234,0.00971712,0.947471,0.00295356
88100,0.954557,0.0100399,0.947148,0.00263094
88600,0.954108,0.00959085,0.947464,0.00294684
89100,0.954646,0.0101289,0.947461,0.00294353
89600,0.954636,0.0101184,0.947144,0.00262637
90100,0.955812,0.011295,0.947142,0.00262488
90600,0.957083,0.0125659,0.946813,0.00229573
91100,0.957913,0.013396,0.947105,0.00258764
91600,0.959477,0.01496,0.947564,0.00304695
92100,0.959124,0.0146069,0.947425,0.00290749
92600,0.95909,0.0145726,0.94732,0.00280328
93100,0.958743,0.0142254,0.94715,0.00263306
93600,0.959438,0.0149205,0.947149,0.00263159
94100,0.958679,0.0141619,0.947048,0.0025305
94600,0.959367,0.01485,0.946865,0.0023479
95100,0.958924,0.0144064,0.946947,0.00243011
95600,0.958078,0.0135607,0.946751,0.0022336
96100,0.958151,0.0136342,0.94667,0.00215295
96600,0.959331,0.0148141,0.946509,0.00199226
97100,0.959798,0.0152809,0.946576,0.00205851
97600,0.96036,0.0158426,0.946513,0.00199601
98100,0.960618,0.0161012,0.946292,0.00177486
98600,0.960973,0.0164558,0.946723,0.00220568
99100,0.959362,0.0148447,0.946771,0.00225375
99600,0.959622,0.0151045,0.946724,0.00220721
